time	wsp	wdir
0:0:3	6.30	344
0:0:6	9.00	345
0:0:9	9.90	347
0:0:12	9.00	345
0:0:15	9.90	344
0:0:18	9.90	345
0:0:21	9.90	344
0:0:24	9.90	343
0:0:27	9.90	345
0:0:30	9.90	344
0:0:33	9.90	344
0:0:36	10.80	344
0:0:39	9.90	344
0:0:42	9.90	344
0:0:45	9.90	344
0:0:48	10.80	344
0:0:51	9.90	343
0:0:54	9.00	344
0:0:57	9.90	343
0:1:0	10.80	344
0:1:3	9.90	344
0:1:6	10.80	344
0:1:9	9.90	344
0:1:12	9.90	344
0:1:15	9.90	344
0:1:18	10.80	344
0:1:21	9.90	344
0:1:24	10.80	344
0:1:27	9.90	345
0:1:30	10.80	344
0:1:33	10.80	343
0:1:36	10.80	344
0:1:39	10.80	344
0:1:42	9.90	343
0:1:45	9.90	344
0:1:48	10.80	344
0:1:51	9.90	343
0:1:54	10.80	344
0:1:57	10.80	343
0:2:0	10.80	344
0:2:3	10.80	344
0:2:6	10.80	343
0:2:9	9.90	343
0:2:12	9.90	344
0:2:15	9.90	345
0:2:18	10.80	344
0:2:21	9.90	344
0:2:24	10.80	344
0:2:27	9.90	344
0:2:30	9.00	343
0:2:33	9.90	344
0:2:36	9.90	344
0:2:39	9.90	344
0:2:42	10.80	344
0:2:45	10.80	344
0:2:48	10.80	344
0:2:51	10.80	343
0:2:54	10.80	344
0:2:57	10.80	343
0:3:0	10.80	344
0:3:3	9.90	344
0:3:6	10.80	344
0:3:9	10.80	344
0:3:12	9.90	344
0:3:15	10.80	344
0:3:18	11.70	344
0:3:21	9.90	344
0:3:24	9.90	344
0:3:27	10.80	344
0:3:30	9.90	343
0:3:33	10.80	343
0:3:36	9.90	343
0:3:39	10.80	344
0:3:42	10.80	344
0:3:45	9.90	344
0:3:48	9.90	344
0:3:51	10.80	343
0:3:54	9.90	343
0:3:57	10.80	344
0:4:0	10.80	344
0:4:3	10.80	343
0:4:6	10.80	343
0:4:9	10.80	344
0:4:12	9.00	344
0:4:15	9.90	345
0:4:18	9.90	344
0:4:21	9.90	344
0:4:24	9.00	344
0:4:27	9.90	344
0:4:30	10.80	344
0:4:33	9.90	344
0:4:36	10.80	344
0:4:39	9.90	344
0:4:42	9.90	344
0:4:45	9.00	344
0:4:48	9.90	344
0:4:51	9.90	344
0:4:54	9.90	344
0:4:57	9.00	344
0:5:0	9.90	344
0:5:3	9.90	344
0:5:6	9.90	344
0:5:9	10.80	344
0:5:12	9.90	344
0:5:15	9.00	344
0:5:18	8.10	344
0:5:21	9.00	343
0:5:24	8.10	344
0:5:27	8.10	344
0:5:30	8.10	344
0:5:33	9.00	344
0:5:36	8.10	344
0:5:39	9.00	344
0:5:42	9.90	344
0:5:45	9.00	345
0:5:48	9.00	344
0:5:51	8.10	344
0:5:54	9.00	344
0:5:57	8.10	343
0:6:0	9.00	344
0:6:3	9.00	344
0:6:6	9.00	344
0:6:9	9.00	343
0:6:12	8.10	344
0:6:15	7.20	344
0:6:18	8.10	344
0:6:21	8.10	344
0:6:24	8.10	344
0:6:27	9.00	345
0:6:30	9.00	344
0:6:33	9.00	344
0:6:36	8.10	344
0:6:39	9.00	344
0:6:42	8.10	344
0:6:45	8.10	344
0:6:48	7.20	344
0:6:51	8.10	344
0:6:54	8.10	344
0:6:57	9.00	344
0:7:0	8.10	344
0:7:3	8.10	344
0:7:6	8.10	344
0:7:9	9.00	344
0:7:12	8.10	344
0:7:15	9.00	344
0:7:18	8.10	344
0:7:21	7.20	344
0:7:24	8.10	345
0:7:27	9.00	344
0:7:30	8.10	344
0:7:33	9.00	344
0:7:36	9.00	344
0:7:39	8.10	344
0:7:42	9.00	344
0:7:45	8.10	344
0:7:48	9.00	344
0:7:51	8.10	343
0:7:54	9.00	344
0:7:57	9.00	344
0:8:0	9.00	344
0:8:3	9.00	344
0:8:6	9.00	344
0:8:9	8.10	344
0:8:12	9.00	344
0:8:15	9.00	344
0:8:18	8.10	344
0:8:21	9.00	344
0:8:24	8.10	343
0:8:27	8.10	344
0:8:30	8.10	342
0:8:33	9.00	343
0:8:36	8.10	344
0:8:39	9.00	344
0:8:42	9.00	344
0:8:45	8.10	343
0:8:48	9.00	344
0:8:51	9.00	344
0:8:54	8.10	344
0:8:57	8.10	344
0:9:0	8.10	344
0:9:3	8.10	344
0:9:6	9.00	344
0:9:9	9.00	344
0:9:12	9.00	343
0:9:15	8.10	344
0:9:18	9.00	344
0:9:21	8.10	344
0:9:24	8.10	343
0:9:27	9.00	344
0:9:30	8.10	344
0:9:33	8.10	344
0:9:36	9.00	344
0:9:39	8.10	344
0:9:42	9.00	344
0:9:45	9.00	344
0:9:48	9.00	344
0:9:51	9.00	344
0:9:54	8.10	344
0:9:57	7.20	344
0:10:0	8.10	344
0:10:3	9.00	344
0:10:6	8.10	344
0:10:9	8.10	344
0:10:12	9.00	344
0:10:15	9.00	344
0:10:18	8.10	344
0:10:21	9.00	343
0:10:24	8.10	344
0:10:27	8.10	344
0:10:30	6.30	344
0:10:33	5.40	344
0:10:36	6.30	344
0:10:39	6.30	344
0:10:42	6.30	344
0:10:45	6.30	344
0:10:48	6.30	344
0:10:51	6.30	344
0:10:54	6.30	344
0:10:57	5.40	344
0:11:0	6.30	344
0:11:3	5.40	344
0:11:6	6.30	344
0:11:9	6.30	344
0:11:12	5.40	344
0:11:15	6.30	344
0:11:18	6.30	344
0:11:21	6.30	344
0:11:24	6.30	344
0:11:27	7.20	344
0:11:30	5.40	344
0:11:33	6.30	344
0:11:36	6.30	344
0:11:39	5.40	344
0:11:42	6.30	344
0:11:45	5.40	344
0:11:48	6.30	344
0:11:51	5.40	344
0:11:54	6.30	344
0:11:57	5.40	344
0:12:0	6.30	344
0:12:3	5.40	344
0:12:6	6.30	344
0:12:9	6.30	344
0:12:12	5.40	344
0:12:15	6.30	344
0:12:18	6.30	344
0:12:21	5.40	344
0:12:24	6.30	344
0:12:27	5.40	344
0:12:30	6.30	344
0:12:33	6.30	344
0:12:36	5.40	344
0:12:39	6.30	344
0:12:42	5.40	344
0:12:45	6.30	344
0:12:48	5.40	344
0:12:51	6.30	344
0:12:54	5.40	344
0:12:57	6.30	344
0:13:0	5.40	344
0:13:3	6.30	344
0:13:6	5.40	344
0:13:9	6.30	344
0:13:12	7.20	343
0:13:15	6.30	343
0:13:18	6.30	344
0:13:21	5.40	344
0:13:24	6.30	344
0:13:27	6.30	344
0:13:30	6.30	344
0:13:33	6.30	344
0:13:36	5.40	344
0:13:39	6.30	344
0:13:42	6.30	344
0:13:45	6.30	344
0:13:48	5.40	344
0:13:51	6.30	344
0:13:54	5.40	344
0:13:57	5.40	344
0:14:0	6.30	344
0:14:3	5.40	344
0:14:6	5.40	344
0:14:9	6.30	344
0:14:12	5.40	344
0:14:15	5.40	344
0:14:18	5.40	344
0:14:21	5.40	344
0:14:24	6.30	344
0:14:27	5.40	344
0:14:30	6.30	344
0:14:33	5.40	344
0:14:36	5.40	344
0:14:39	6.30	344
0:14:42	5.40	344
0:14:45	6.30	344
0:14:48	6.30	344
0:14:51	6.30	344
0:14:54	5.40	344
0:14:57	6.30	343
0:15:0	6.30	344
0:15:3	6.30	344
0:15:6	6.30	344
0:15:9	5.40	344
0:15:12	6.30	344
0:15:15	6.30	344
0:15:18	5.40	344
0:15:21	5.40	344
0:15:24	6.30	344
0:15:27	7.20	344
0:15:30	6.30	344
0:15:33	5.40	344
0:15:36	6.30	344
