time	wsp	wdir
0:0:3	5.40	357
0:0:6	8.10	357
0:0:9	8.10	357
0:0:12	8.10	357
0:0:15	8.10	357
0:0:18	8.10	358
0:0:21	8.10	358
0:0:24	9.00	357
0:0:27	8.10	358
0:0:30	8.10	358
0:0:33	8.10	357
0:0:36	7.20	357
0:0:39	8.10	357
0:0:42	9.00	357
0:0:45	8.10	357
0:0:48	8.10	358
0:0:51	8.10	357
0:0:54	8.10	358
0:0:57	9.00	358
0:1:0	8.10	357
0:1:3	9.00	357
0:1:6	8.10	357
0:1:9	8.10	357
0:1:12	9.00	357
0:1:15	8.10	357
0:1:18	8.10	357
0:1:21	8.10	357
0:1:24	8.10	357
0:1:27	8.10	357
0:1:30	8.10	357
0:1:33	8.10	357
0:1:36	8.10	358
0:1:39	9.00	358
0:1:42	8.10	359
0:1:45	8.10	358
0:1:48	9.00	358
0:1:51	8.10	357
0:1:54	8.10	357
0:1:57	9.00	357
0:2:0	8.10	358
0:2:3	8.10	357
0:2:6	8.10	357
0:2:9	9.00	357
0:2:12	8.10	357
0:2:15	8.10	357
0:2:18	8.10	357
0:2:21	8.10	357
0:2:24	8.10	357
0:2:27	8.10	357
0:2:30	8.10	357
0:2:33	8.10	358
0:2:36	8.10	358
0:2:39	7.20	357
0:2:42	8.10	358
0:2:45	8.10	359
0:2:48	8.10	357
0:2:51	9.00	357
0:2:54	8.10	357
0:2:57	8.10	357
0:3:0	8.10	358
0:3:3	8.10	358
0:3:6	8.10	357
0:3:9	8.10	357
0:3:12	8.10	358
0:3:15	8.10	357
0:3:18	8.10	357
0:3:21	8.10	357
0:3:24	8.10	357
0:3:27	8.10	357
0:3:30	8.10	357
0:3:33	8.10	357
0:3:36	8.10	358
0:3:39	9.00	357
0:3:42	8.10	357
0:3:45	7.20	358
0:3:48	9.00	357
0:3:51	8.10	358
0:3:54	8.10	357
0:3:57	9.00	357
0:4:0	8.10	358
0:4:3	8.10	357
0:4:6	7.20	357
0:4:9	8.10	357
0:4:12	8.10	358
0:4:15	8.10	357
0:4:18	8.10	357
0:4:21	7.20	358
0:4:24	8.10	357
0:4:27	8.10	357
0:4:30	7.20	357
0:4:33	9.00	357
0:4:36	8.10	358
0:4:39	8.10	359
0:4:42	7.20	357
0:4:45	8.10	357
0:4:48	8.10	358
0:4:51	8.10	357
0:4:54	8.10	357
0:4:57	8.10	357
0:5:0	8.10	357
0:5:3	8.10	357
0:5:6	8.10	357
0:5:9	8.10	357
0:5:12	8.10	357
0:5:15	9.00	358
0:5:18	8.10	358
0:5:21	8.10	358
0:5:24	8.10	357
0:5:27	8.10	359
0:5:30	8.10	357
0:5:33	8.10	358
0:5:36	9.00	357
0:5:39	8.10	357
0:5:42	8.10	358
0:5:45	8.10	358
0:5:48	8.10	357
0:5:51	7.20	358
0:5:54	7.20	358
0:5:57	6.30	358
0:6:0	6.30	357
0:6:3	6.30	357
0:6:6	7.20	358
0:6:9	7.20	358
0:6:12	6.30	358
0:6:15	7.20	357
0:6:18	7.20	358
0:6:21	6.30	358
0:6:24	7.20	357
