time1,time2,time3
10:21:15,10:27:04,10:32:11
10:39:24,10:44:34,10:49:40
10:57:11,11:02:14,11:07:25
11:14:28,11:19:31,11:24:42
11:32:00,11:37:09,11:42:13
11:52:12,11:57:16,12:02:28
12:09:22,12:14:30,12:19:38
12:28:31,12:33:46,12:38:56
12:47:27,12:52:33,12:57:36
13:05:11,13:10:21,13:15:26
13:23:15,13:29:03,13:33:34
14:38:14,14:43:34,14:48:50
14:56:54,15:02:00,15:07:06
15:14:34,15:19:41,15:24:49
15:32:52,15:37:58,15:43:07
15:50:40,15:55:53,16:01:01
16:08:24,16:13:37,16:18:48
16:26:08,16:31:22,16:36:25
16:43:59,16:49:10,16:54:18
17:01:35,17:06:44,17:11:53
