time1,time2,time3
1,10:44:44,10:49:09,10:54:23
2,11:01:35,11:06:44,11:11:53
3,11:19:13,11:24:22,11:29:33
4,11:37:10,11:42:23,11:47:29
5,11:54:51,11:59:56,12:05:08
6,10:26:45,10:32:03,10:37:11
7,12:12:47,12:17:51,12:23:02
8,12:30:24,12:35:33,12:40:38
9,12:48:23,12:53:33,12:58:46
10,13:06:20,13:11:30,13:16:43
11,13:25:38,13:30:52,13:36:06
12,13:43:16,13:48:26,13:54:34
13,14:01:14,14:06:21,14:11:25
14,14:18:33,14:23:44,14:28:51
15,14:36:21,14:41:10,14:46:24
16,14:53:29,14:58:37,15:03:47
17,15:10:37,15:15:40,15:20:45
18,15:27:53,15:33:00,15:38:09
19,15:45:42,15:50:50,15:56:01
20,16:03:12,16:08:24,16:13:35
