time	wsp	wdir
0:0:4	6.30	348
0:0:7	8.10	347
0:0:10	8.10	347
0:0:13	9.00	346
0:0:16	9.00	347
0:0:19	9.00	346
0:0:22	8.10	347
0:0:25	8.10	346
0:0:28	7.20	348
0:0:31	8.10	347
0:0:34	8.10	347
0:0:37	8.10	347
0:0:40	9.00	347
0:0:43	8.10	347
0:0:46	9.00	348
0:0:49	8.10	346
0:0:52	9.00	348
0:0:55	8.10	346
0:0:58	9.00	346
0:1:1	8.10	347
0:1:4	8.10	347
0:1:7	8.10	347
0:1:10	9.90	347
0:1:13	9.00	347
0:1:16	8.10	347
0:1:19	9.00	347
0:1:22	8.10	347
0:1:25	9.00	346
0:1:28	9.00	347
0:1:31	8.10	347
0:1:34	9.00	347
0:1:37	8.10	347
0:1:40	8.10	347
0:1:43	8.10	347
0:1:46	8.10	347
0:1:49	8.10	347
0:1:52	8.10	347
0:1:55	7.20	347
0:1:58	8.10	348
0:2:1	8.10	348
0:2:4	8.10	347
0:2:7	9.00	347
0:2:10	8.10	347
0:2:13	9.00	347
0:2:16	9.00	347
0:2:19	8.10	347
0:2:22	9.90	347
0:2:25	9.00	347
0:2:28	8.10	347
0:2:31	8.10	347
0:2:34	8.10	348
0:2:37	9.00	346
0:2:40	8.10	347
0:2:43	8.10	347
0:2:46	8.10	347
0:2:49	8.10	347
0:2:52	8.10	347
0:2:55	9.90	347
0:2:58	9.00	347
0:3:1	9.00	347
0:3:4	8.10	347
0:3:7	9.00	346
0:3:10	8.10	346
0:3:13	8.10	347
0:3:16	9.00	346
0:3:19	9.00	347
0:3:22	8.10	348
0:3:25	7.20	347
0:3:28	9.00	347
0:3:31	8.10	347
0:3:34	9.00	347
0:3:37	9.00	347
0:3:40	9.00	347
0:3:43	8.10	347
0:3:46	8.10	347
0:3:49	9.00	347
0:3:52	9.00	346
0:3:55	9.00	347
0:3:58	8.10	347
0:4:1	9.00	347
0:4:4	8.10	346
0:4:7	8.10	347
0:4:10	9.00	347
0:4:13	8.10	347
0:4:16	8.10	347
0:4:19	8.10	346
0:4:22	9.00	346
0:4:25	7.20	347
0:4:28	8.10	347
0:4:31	9.00	347
0:4:34	9.00	347
0:4:37	9.90	347
0:4:40	9.00	347
0:4:43	8.10	347
0:4:46	9.00	347
0:4:49	9.00	347
0:4:52	9.00	347
0:4:55	8.10	347
0:4:58	9.00	347
0:5:1	9.00	347
0:5:4	8.10	347
0:5:7	9.00	347
0:5:10	8.10	346
0:5:13	6.30	347
0:5:16	7.20	347
0:5:19	6.30	347
0:5:22	7.20	347
0:5:25	7.20	347
0:5:28	6.30	348
0:5:31	6.30	347
0:5:34	7.20	348
0:5:37	6.30	347
0:5:40	6.30	347
0:5:43	6.30	347
0:5:46	6.30	347
0:5:49	6.30	347
0:5:52	6.30	347
0:5:55	7.20	347
0:5:58	6.30	347
0:6:1	6.30	347
0:6:4	7.20	347
0:6:7	6.30	346
0:6:10	6.30	347
0:6:13	7.20	347
0:6:16	5.40	347
0:6:19	6.30	347
0:6:22	6.30	347
0:6:25	6.30	347
0:6:28	7.20	347
0:6:31	6.30	347
0:6:34	6.30	347
0:6:37	7.20	347
0:6:40	6.30	347
0:6:43	7.20	347
0:6:46	6.30	347
0:6:49	6.30	347
0:6:52	6.30	347
0:6:55	7.20	347
0:6:58	7.20	346
0:7:1	6.30	347
0:7:4	6.30	347
0:7:7	6.30	347
0:7:10	6.30	347
0:7:13	6.30	347
0:7:16	7.20	347
0:7:19	6.30	347
0:7:22	7.20	347
0:7:25	6.30	347
0:7:28	6.30	347
0:7:31	5.40	347
0:7:34	6.30	347
0:7:37	7.20	347
0:7:40	6.30	347
0:7:43	7.20	347
0:7:46	6.30	347
0:7:49	6.30	347
0:7:52	6.30	348
0:7:55	6.30	347
0:7:58	6.30	347
0:8:1	6.30	347
0:8:4	6.30	347
0:8:7	6.30	347
0:8:10	6.30	347
0:8:13	6.30	347
0:8:16	6.30	347
0:8:19	6.30	347
0:8:22	6.30	347
0:8:25	6.30	347
0:8:28	6.30	347
0:8:31	6.30	347
0:8:34	6.30	347
0:8:37	7.20	347
0:8:40	6.30	347
0:8:43	6.30	347
0:8:46	7.20	347
0:8:49	6.30	347
0:8:52	6.30	347
0:8:55	6.30	347
0:8:58	6.30	347
0:9:1	6.30	347
0:9:4	6.30	347
0:9:7	7.20	347
0:9:10	6.30	347
0:9:13	7.20	347
0:9:16	6.30	347
0:9:19	6.30	347
0:9:22	6.30	347
0:9:25	6.30	347
0:9:28	6.30	347
0:9:31	6.30	347
0:9:34	5.40	347
0:9:37	6.30	347
0:9:40	6.30	347
0:9:43	7.20	348
0:9:46	6.30	347
0:9:49	6.30	348
0:9:52	7.20	347
0:9:55	6.30	348
0:9:58	7.20	347
0:10:1	6.30	347
0:10:4	6.30	347
0:10:7	6.30	347
0:10:10	6.30	347
0:10:13	6.30	347
0:10:16	6.30	347
0:10:19	6.30	347
0:10:22	4.50	347
0:10:25	4.50	347
0:10:28	3.60	347
0:10:31	3.60	347
0:10:34	5.40	347
0:10:37	3.60	347
0:10:40	3.60	347
0:10:43	2.70	347
0:10:46	3.60	347
0:10:49	3.60	347
0:10:52	3.60	347
0:10:55	3.60	347
0:10:58	3.60	347
0:11:1	3.60	347
0:11:4	4.50	347
0:11:7	3.60	347
0:11:10	3.60	347
0:11:13	3.60	347
0:11:16	3.60	347
0:11:19	4.50	347
0:11:22	3.60	347
0:11:25	3.60	347
0:11:28	3.60	347
0:11:31	3.60	347
0:11:34	4.50	347
0:11:37	3.60	347
0:11:40	4.50	347
0:11:43	3.60	347
0:11:46	3.60	347
0:11:49	3.60	347
0:11:52	3.60	347
0:11:55	3.60	347
0:11:58	3.60	347
0:12:1	3.60	347
0:12:4	4.50	347
0:12:7	3.60	347
0:12:10	3.60	347
0:12:13	3.60	347
0:12:16	3.60	347
0:12:19	3.60	347
0:12:22	3.60	347
0:12:25	3.60	347
0:12:28	3.60	347
0:12:31	3.60	347
0:12:34	3.60	347
0:12:37	3.60	347
0:12:40	3.60	347
0:12:43	3.60	347
0:12:46	3.60	347
0:12:49	3.60	347
0:12:52	3.60	347
0:12:55	3.60	347
0:12:58	3.60	347
0:13:1	3.60	347
0:13:4	3.60	347
0:13:7	2.70	347
0:13:10	3.60	347
0:13:13	3.60	347
0:13:16	2.70	347
0:13:19	3.60	347
0:13:22	3.60	347
0:13:25	3.60	347
0:13:28	2.70	347
0:13:31	3.60	347
0:13:34	3.60	347
0:13:37	4.50	347
0:13:40	3.60	347
0:13:43	3.60	347
0:13:46	3.60	347
0:13:49	3.60	347
0:13:52	3.60	347
0:13:55	3.60	347
0:13:58	3.60	347
0:14:1	2.70	347
0:14:4	3.60	347
0:14:7	3.60	347
0:14:10	3.60	347
0:14:13	3.60	347
0:14:16	2.70	347
0:14:19	4.50	347
0:14:22	3.60	347
0:14:25	4.50	347
0:14:28	3.60	347
0:14:31	3.60	347
0:14:34	3.60	347
0:14:37	3.60	347
0:14:40	4.50	347
0:14:43	2.70	347
0:14:46	3.60	347
0:14:49	3.60	347
0:14:52	4.50	347
0:14:55	3.60	347
0:14:58	3.60	347
0:15:1	2.70	347
0:15:4	3.60	347
0:15:7	3.60	347
0:15:10	3.60	347
0:15:13	3.60	347
0:15:16	3.60	347
0:15:19	3.60	347
0:15:22	4.50	347
0:15:25	3.60	347
0:15:28	4.50	347
