time	wsp	wdir
0:0:4	8.10	339
0:0:7	9.00	339
0:0:10	9.00	340
0:0:13	9.00	339
0:0:16	10.80	339
0:0:19	9.00	339
0:0:22	9.00	339
0:0:25	9.00	339
0:0:28	9.90	339
0:0:31	9.00	339
0:0:34	9.00	340
0:0:37	9.00	339
0:0:40	9.00	338
0:0:43	9.00	338
0:0:46	9.00	338
0:0:49	9.00	339
0:0:52	9.00	339
0:0:55	9.00	339
0:0:58	9.90	339
0:1:1	9.00	339
0:1:4	9.00	339
0:1:7	9.00	340
0:1:10	9.00	339
0:1:13	9.00	338
0:1:16	8.10	338
0:1:19	9.00	338
0:1:22	9.00	339
0:1:25	9.00	339
0:1:28	9.00	339
0:1:31	9.90	338
0:1:34	9.00	339
0:1:37	9.00	338
0:1:40	9.90	339
0:1:43	9.00	339
0:1:46	9.00	339
0:1:49	9.00	338
0:1:52	9.00	338
0:1:55	9.00	338
0:1:58	9.00	338
0:2:1	9.00	339
0:2:4	9.90	339
0:2:7	9.90	337
0:2:10	9.90	340
0:2:13	9.00	338
0:2:16	9.00	338
0:2:19	9.90	339
0:2:22	9.00	338
0:2:25	9.00	339
0:2:28	9.00	339
0:2:31	9.90	339
0:2:34	9.00	339
0:2:37	9.90	338
0:2:40	9.00	339
0:2:43	9.00	339
0:2:46	9.90	339
0:2:49	9.90	338
0:2:52	9.90	338
0:2:55	9.00	338
0:2:58	9.90	338
0:3:1	9.90	339
0:3:4	9.90	339
0:3:7	9.90	339
0:3:10	9.00	339
0:3:13	9.90	339
0:3:16	9.00	338
0:3:19	9.00	339
0:3:22	9.90	339
0:3:25	9.00	338
0:3:28	9.90	338
0:3:31	9.00	338
0:3:34	9.00	339
0:3:37	9.90	339
0:3:40	8.10	339
0:3:43	9.00	339
0:3:46	9.90	339
0:3:49	9.00	338
0:3:52	9.00	339
0:3:55	9.00	338
0:3:58	9.90	338
0:4:1	9.90	339
0:4:4	9.90	338
0:4:7	9.00	339
0:4:10	9.00	340
0:4:13	9.00	338
0:4:16	9.00	339
0:4:19	9.90	338
0:4:22	9.90	338
0:4:25	9.90	339
0:4:28	9.00	339
0:4:31	9.90	340
0:4:34	9.00	339
0:4:37	9.90	338
0:4:40	9.90	338
0:4:43	9.90	338
0:4:46	9.90	338
0:4:49	9.90	338
0:4:52	9.90	338
0:4:55	9.00	339
0:4:58	9.90	338
0:5:1	9.90	339
0:5:4	9.00	338
0:5:7	9.00	339
0:5:10	7.20	339
0:5:13	9.00	338
0:5:16	8.10	338
0:5:19	8.10	338
0:5:22	8.10	338
0:5:25	8.10	338
0:5:28	7.20	338
0:5:31	8.10	339
0:5:34	8.10	338
0:5:37	7.20	338
0:5:40	7.20	338
0:5:43	8.10	339
0:5:46	7.20	338
0:5:49	8.10	338
0:5:52	7.20	339
0:5:55	7.20	339
0:5:58	8.10	338
0:6:1	8.10	338
0:6:4	8.10	339
0:6:7	8.10	339
0:6:10	8.10	338
0:6:13	8.10	338
0:6:16	8.10	338
0:6:19	8.10	338
0:6:22	8.10	339
0:6:25	7.20	338
0:6:28	8.10	339
0:6:31	8.10	339
0:6:34	7.20	340
0:6:37	8.10	338
0:6:40	8.10	339
0:6:43	8.10	339
0:6:46	7.20	339
0:6:49	7.20	339
0:6:52	8.10	339
0:6:55	8.10	339
0:6:58	8.10	339
0:7:1	7.20	338
0:7:4	7.20	339
0:7:7	7.20	339
0:7:10	8.10	338
0:7:13	8.10	338
0:7:16	8.10	339
0:7:19	8.10	338
0:7:22	7.20	339
0:7:25	7.20	339
0:7:28	8.10	339
0:7:31	8.10	338
0:7:34	8.10	338
0:7:37	8.10	339
0:7:40	8.10	338
0:7:43	8.10	339
0:7:46	8.10	338
0:7:49	8.10	338
0:7:52	8.10	338
0:7:55	8.10	339
0:7:58	8.10	338
0:8:1	8.10	339
0:8:4	8.10	338
0:8:7	8.10	338
0:8:10	7.20	338
0:8:13	7.20	339
0:8:16	7.20	339
0:8:19	7.20	338
0:8:22	8.10	338
0:8:25	7.20	338
0:8:28	7.20	339
0:8:31	7.20	339
0:8:34	7.20	339
0:8:37	8.10	339
0:8:40	7.20	339
0:8:43	7.20	338
0:8:46	7.20	339
0:8:49	8.10	339
0:8:52	7.20	338
0:8:55	8.10	338
0:8:58	8.10	338
0:9:1	7.20	338
0:9:4	7.20	338
0:9:7	7.20	339
0:9:10	8.10	338
0:9:13	7.20	339
0:9:16	7.20	339
0:9:19	7.20	339
0:9:22	7.20	339
0:9:25	7.20	338
0:9:28	7.20	339
0:9:31	7.20	339
0:9:34	7.20	339
0:9:37	7.20	339
0:9:40	7.20	338
0:9:43	8.10	339
0:9:46	7.20	338
0:9:49	7.20	338
0:9:52	7.20	338
0:9:55	7.20	338
0:9:58	8.10	339
0:10:1	7.20	338
0:10:4	8.10	339
0:10:7	7.20	339
0:10:10	8.10	338
0:10:13	7.20	339
0:10:16	7.20	339
0:10:19	5.40	339
0:10:22	5.40	339
0:10:25	5.40	339
0:10:28	5.40	339
0:10:31	5.40	339
0:10:34	4.50	339
0:10:37	5.40	339
0:10:40	5.40	339
0:10:43	4.50	339
0:10:46	5.40	339
0:10:49	5.40	339
0:10:52	4.50	339
0:10:55	5.40	339
0:10:58	5.40	339
0:11:1	5.40	339
0:11:4	4.50	339
0:11:7	5.40	338
0:11:10	4.50	338
0:11:13	5.40	338
0:11:16	5.40	338
0:11:19	5.40	338
0:11:22	5.40	338
0:11:25	4.50	338
0:11:28	5.40	338
0:11:31	5.40	338
0:11:34	5.40	338
